#;Material;Gensim;Split;Hybridisation;Hybridisation_type;Soerensen_normalisation;Alphabet_normalisation;Auxiliary_metrics;Outgroup identification;Outer distance split;Inner distance split;Split difference
68;Slavic standard;0;1;TRUE;JOINED;FALSE;NOT_USED;LDND;CORRECT;0.0142441720958508;0.00245176691234447;5.80975786243481
69;Slavic standard;0;1;TRUE;JOINED;FALSE;NOT_USED;WJWDND;CORRECT;0.0118720249161377;0.00224602183662576;5.28580119860868
70;Slavic standard;0;1;TRUE;JOINED;FALSE;TRUE;vector;CORRECT;0.0178404412235995;0.00314928992372518;5.66490912418019
71;Slavic standard;0;1;TRUE;JOINED;FALSE;FALSE;VWJDND;CORRECT;0.0159026865139504;0.00335092167976822;4.74576490700026
72;Slavic standard;0;1;TRUE;JOINED;FALSE;TRUE;VWJDND;CORRECT;0.0160680860875474;0.00277473226633244;5.79085999846238
73;Slavic standard;0;1;TRUE;ARRAY;NOT_USED;TRUE;vector;CORRECT;0.147011098623615;0.030674402793731;4.79263115934762
74;Slavic standard;0;1;TRUE;ARRAY;NOT_USED;NOT_USED;LDND;CORRECT;0.149842840137952;0.0153836864132146;9.74037276326933
75;Slavic standard;0;1;TRUE;ARRAY;NOT_USED;NOT_USED;WJWDND;CORRECT;0.120306091861177;0.0207767828706318;5.79041002691668
76;Slavic standard;0;1;TRUE;ARRAY;NOT_USED;FALSE;vector;CORRECT;0.156457679154852;0.0431329256539542;3.62733751032974
77;Slavic standard;0;1;TRUE;ARRAY;NOT_USED;FALSE;VWJDND;CORRECT;0.136576965563042;0.0351642428600096;3.88397287855055
78;Slavic standard;0;1;TRUE;ARRAY;NOT_USED;TRUE;VWJDND;CORRECT;0.135929231167308;0.0339157071469451;4.00785484372693
79;Slavic standard;0;1;FALSE;NOT_USED;FALSE;NOT_USED;NOT_USED;CORRECT;0.0462867187686757;0.00561827313506452;8.23860244169922
80;Slavic standard;0;1;FALSE;NOT_USED;TRUE;NOT_USED;NOT_USED;CORRECT;0.0931647555394181;0.0331172316808491;2.81318065583643
81;Modern East Slavic;0;1;TRUE;JOINED;TRUE;FALSE;vector;CORRECT;0.0626620924681027;0.0390381992175183;1.60514812988564
82;Modern East Slavic;0;1;TRUE;JOINED;TRUE;NOT_USED;LDND;CORRECT;0.0570022608116227;0.0374536027548378;1.52194332771524
83;Modern East Slavic;0;1;TRUE;JOINED;TRUE;NOT_USED;WJWDND;CORRECT;0.0494400405180902;0.0316589565921329;1.56164466046793
84;Modern East Slavic;0;1;TRUE;JOINED;TRUE;TRUE;vector;CORRECT;0.0646790673973499;0.0413630377074118;1.56369239258654
85;Modern East Slavic;0;1;TRUE;JOINED;TRUE;FALSE;VWJDND;CORRECT;0.0575884686099989;0.0370610655125177;1.5538805431956
86;Modern East Slavic;0;1;TRUE;JOINED;TRUE;TRUE;VWJDND;CORRECT;0.0570736386778581;0.0366192323200697;1.55857004808312
87;Modern East Slavic;0;1;TRUE;JOINED;FALSE;FALSE;vector;CORRECT;0.0228643846166555;0.00728841378263894;3.1370865182104
88;Modern East Slavic;0;1;TRUE;JOINED;FALSE;NOT_USED;LDND;CORRECT;0.0203870648936065;0.00773859752006567;2.63446507467848
89;Modern East Slavic;0;1;TRUE;JOINED;FALSE;NOT_USED;WJWDND;CORRECT;0.0176848700013774;0.00618006699902496;2.86159842671084
90;Modern East Slavic;0;1;TRUE;JOINED;FALSE;TRUE;vector;CORRECT;0.0231838546973602;0.00764299227811322;3.03334791580915
